,ParticleId,Result:0,Result:1,Result:2
0,64,0.781923,0.512149,0.730295
5,154,0.85727,0.446821,0.545293
17,249,0.938252,0.265324,0.37471
50,586,0.645852,0.397254,0.840151
258,1051,0.290781,0.830534,0.443594
305,1097,0.855215,0.11906,0.861352
346,1104,0.0910174,0.878277,0.0973762
395,1124,0.448525,0.182584,0.615479
509,1129,0.704454,0.534353,0.344508
557,1130,0.892931,0.673931,0.296094
635,1136,0.417367,0.141588,0.894643
749,1147,0.828945,0.208313,0.70542
814,1179,0.211819,0.295434,0.72837
861,1184,0.174361,0.472704,0.497523
909,1213,0.840387,0.292141,0.566979
1054,1269,0.862012,0.85017,0.56823
1149,1353,0.539464,0.325899,0.746996
1197,1402,0.0672721,0.64765,0.758242
1338,1498,0.766529,0.271595,0.247877
1392,1506,0.223172,0.141767,0.940371
1434,1545,0.12622,0.159615,0.803237
1556,1554,0.222496,0.494088,0.564518
1622,1689,0.878507,0.812321,0.738845
1760,1786,0.801807,0.852576,0.046288
1803,1788,0.808173,0.668433,0.773065
1867,1885,0.361164,0.150962,0.563237
1921,1919,0.549219,0.212305,0.138033
1978,1936,0.51298,0.785749,0.36541
2019,1985,0.19344,0.0845026,0.661491
2067,1986,0.811057,0.678279,0.386607
2182,2158,0.30242,0.435609,0.653588
2470,2780,0.865416,0.10917,0.804663
2540,2829,0.484795,0.181009,0.966604
2594,2833,0.891823,0.0760231,0.613261
2682,2878,0.219095,0.0869549,0.920997
2763,2883,0.88741,0.103393,0.793407
2807,2926,0.0777132,0.874007,0.115409
2846,2931,0.893822,0.0960809,0.756989
2902,2974,0.103129,0.893478,0.105806
2959,2979,0.51987,0.218736,0.97796
2989,3022,0.103668,0.894061,0.106927
3133,3071,0.751333,0.162704,0.920918
3197,3075,0.820888,0.160726,0.0756912
3228,3118,0.0774788,0.869252,0.117811
3277,3120,0.603869,0.196228,0.959178
3319,3121,0.891453,0.0790715,0.640106
3374,3123,0.86409,0.0767848,0.192281
3433,3165,0.241386,0.836081,0.0310233
3490,3166,0.887384,0.0611529,0.363406
3591,3169,0.223612,0.0855151,0.922569
3643,3171,0.885092,0.0606591,0.38461
3686,3212,0.204825,0.878609,0.0544531
3755,3215,0.830414,0.127417,0.866991
3879,3219,0.812009,0.179164,0.0669112
3919,3259,0.179589,0.894608,0.0710863
4065,3264,0.63028,0.188125,0.949506
4096,3265,0.632469,0.188685,0.948605
4130,3267,0.805679,0.191411,0.061485
4191,3305,0.0568121,0.847056,0.115969
4275,3308,0.891916,0.0770145,0.597504
4332,3310,0.0196385,0.221795,0.380996
4520,3356,0.785159,0.160141,0.922718
4647,3360,0.896544,0.0736034,0.584368
4682,3361,0.860919,0.107193,0.804035
4722,3362,0.887409,0.0611503,0.399174
4774,3401,0.793713,0.153108,0.916794
4825,3402,0.157741,0.0561498,0.860886
4970,3406,0.188331,0.0725502,0.899327
5009,3408,0.864398,0.0734723,0.225976
5055,3409,0.659767,0.188041,0.944899
5093,3410,0.844188,0.11594,0.832059
5133,3448,0.0480555,0.823244,0.112363
5172,3449,0.0164927,0.280249,0.33772
5207,3450,0.0815522,0.0600118,0.657414
5244,3451,0.01667,0.280339,0.338664
5281,3452,0.0174187,0.26124,0.352699
5321,3453,0.0836597,0.0583183,0.66642
5352,3454,0.162369,0.0607579,0.866381
5392,3455,0.106642,0.0495862,0.751396
5434,3456,0.268612,0.106104,0.942775
5465,3457,0.168703,0.0634344,0.869704
5504,3458,0.844991,0.0976152,0.142597
5541,3503,0.0652729,0.086296,0.582636
5582,3504,0.590988,0.187047,0.950056
5631,3526,0.64025,0.813865,0.731816
5687,3529,0.477307,0.781075,0.625362
5729,3532,0.163607,0.31591,0.453849
5797,3536,0.663222,0.460257,0.392159
5864,3571,0.468848,0.103683,0.571149
5922,3574,0.458161,0.606169,0.0483935
5969,3575,0.364192,0.785233,0.620901
6018,3576,0.961966,0.202959,0.693009
6080,3583,0.526502,0.2329,0.930113
6178,3587,0.491308,0.0543892,0.76324
6222,3599,0.254263,0.304245,0.181335
6269,3614,0.260106,0.188607,0.610127
6316,3615,0.685959,0.0748576,0.420173
6374,3630,0.903289,0.627425,0.093136
6420,3631,0.184504,0.644324,0.837789
6486,3634,0.79945,0.379826,0.0863154
6542,3636,0.344012,0.861514,0.46364
6584,3648,0.216729,0.842233,0.204674
6648,3661,0.449546,0.758617,0.137112
6730,3678,0.606316,0.52796,0.878936
6774,3682,0.188995,0.688924,0.700868
6906,3755,0.787969,0.0732277,0.590223
6979,3762,0.925613,0.414457,0.668506
7061,3803,0.389722,0.0682135,0.743313
7130,3850,0.95712,0.534596,0.333646
7161,3860,0.0822773,0.382773,0.445079
7212,3898,0.496776,0.06084,0.293624
7258,3900,0.390734,0.277668,0.228564
